nodeID nodeLabel nodeLong nodeLat
1 LCLK 33.630278 34.878890
2 EDDF 8.570555 50.033333
3 EDDK 7.142779 50.865833
4 EGNX -1.328055 52.831112
5 EGTE -3.413888 50.734444
6 LTBJ 27.155001 38.289168
7 LFPG 2.547778 49.009721
8 LFBO 1.367778 43.635002
9 EGNT -1.691667 55.037500
10 EDDP 12.236388 51.423889
11 LIME 9.700279 45.668888
12 EGSS 0.235000 51.885002
13 LTBR 29.549445 40.248889
14 LGAV 23.944446 37.936666
15 EHAM 4.764167 52.308057
16 LTAI 30.792778 36.900277
17 EGBB -1.748055 52.453890
18 EGPH -3.372500 55.950000
19 EBLG 5.442779 50.636389
20 LIPE 11.296945 44.530835
21 EGAA -6.215834 54.657499
22 EBBR 4.484445 50.901388
23 LTAF 35.280278 36.982222
24 LTBA 28.814166 40.976111
25 LTAJ 37.478890 36.947778
26 LKPR 14.260000 50.100834
27 EKCH 12.656112 55.618054
28 ESSA 17.918612 59.651945
29 LTAC 32.994999 40.128056
30 EPKK 19.784721 50.077779
31 ENGM 11.083889 60.202779
32 EKBI 9.151666 55.740279
33 EDDB 13.520555 52.378613
34 LIMC 8.723055 45.630001
35 EPGD 18.466111 54.377498
36 LTFJ 29.309167 40.898332
37 LEIB 1.373055 38.872778
38 EDDM 11.786111 48.353890
39 LEVT -2.724445 42.882780
40 LEBL 2.078333 41.296944
41 LLBG 34.882780 32.009444
42 EPWA 20.967222 52.165833
43 EDDG 7.684722 52.134721
44 ESMS 13.353334 55.548332
45 EDDN 11.078055 49.498612
46 LZIB 17.212779 48.169999
47 EHBK 5.776945 50.915833
48 LROP 26.085000 44.571110
49 EINN -8.924721 52.701945
50 LEMD -3.560833 40.472221
51 EPKT 19.080001 50.474166
52 LGIR 25.180278 35.339722
53 EGGW -0.368333 51.874723
54 EDDV 9.683612 52.460278
55 LHBP 19.261945 47.439445
56 EDLW 7.612222 51.518335
57 LEPA 2.738888 39.551668
58 LFLL 5.081112 45.725553
59 LFML 5.215000 43.436666
60 LTBS 28.791388 36.712500
61 EGCC -2.275000 53.353890
62 LIPZ 12.351945 45.505278
63 LFRS -1.607778 47.156946
64 LOWW 16.569721 48.110278
65 LGTS 22.970833 40.519722
66 LSZH 8.548055 47.458333
67 EDDT 13.287779 52.559721
68 LFSB 7.529167 47.589998
69 EFTU 22.261666 60.514722
70 LJLJ 14.456112 46.224447
71 EGLL -0.461388 51.477498
72 LGKO 27.091111 36.794722
73 LTFH 36.548612 41.265556
74 LTDA 36.298612 36.366667
75 EPWR 16.885834 51.102779
76 LIRA 12.597222 41.799447
77 EFHK 24.963334 60.317220
78 EVRA 23.971112 56.923612
79 EYVI 25.287779 54.636947
80 LIML 9.278334 45.449447
81 ESOW 16.633612 59.589445
82 EETN 24.832499 59.413334
83 LIRF 12.238889 41.800277
84 LOWG 15.439166 46.993054
85 LGRP 28.086112 36.405278
86 LBWN 27.825279 43.231946
87 LGKR 19.912221 39.601945
88 LGSA 24.151111 35.531388
89 LATI 19.720555 41.414722
90 LGKF 20.500555 38.119999
91 LGSR 25.479167 36.399166
92 LWSK 21.621389 41.961666
93 LGMT 26.598612 39.057780
94 LTCC 40.201111 37.892501
95 LFBD -0.715278 44.828613
96 LEMG -4.499167 36.675000
97 ENTC 18.917778 69.681388
98 ENBO 14.365278 67.269165
99 LOWL 14.188055 48.235278
100 EDDE 10.958055 50.979720
101 LSGG 6.109445 46.238334
102 LGST 26.101111 35.216113
103 LGZA 20.884167 37.751111
104 LGLM 25.236389 39.917220
105 LRCL 23.686112 46.785002
106 EFKE 24.584721 65.779167
107 LICC 15.063889 37.466667
108 EIDW -6.270000 53.421387
109 LRTR 21.337779 45.809721
110 LGHI 26.140556 38.343335
111 LGSM 26.912221 37.689168
112 LBSF 23.408333 42.694999
113 EFKK 23.139166 63.720280
114 LZTT 20.241111 49.073612
115 LGML 24.476945 36.696944
116 LKTB 16.693888 49.151388
117 LRTM 24.412500 46.467778
118 LFOB 2.112778 49.454443
119 EGCN -1.004445 53.474723
120 LGAL 25.956112 40.855835
121 EGNV -1.429445 54.509167
122 EDDS 9.221945 48.689998
123 LZKZ 21.241111 48.663053
124 LTCG 39.785278 40.995833
125 LRIA 27.619999 47.178890
126 LRSB 24.085555 45.785832
127 LRSV 26.353888 47.687500
128 LTAT 38.083057 38.432222
129 LRBM 23.466111 47.658333
130 LGPA 25.128056 37.010278
131 EDLP 8.616388 51.614168
132 EFPO 21.797778 61.461389
133 EFOU 25.355554 64.929167
134 ENSH 14.669167 68.243335
135 LEZG -1.041667 41.666113
136 EFSI 22.831946 62.693612
137 EFRO 25.830833 66.561666
138 EFJY 25.672778 62.400834
139 EBCI 4.452778 50.460002
140 EFVA 21.764166 63.045280
141 LROD 21.902500 47.025277
142 EFVR 27.868612 62.171110
143 EFTP 23.587779 61.415279
144 EFKU 27.794446 63.008610
145 LTAN 32.562500 37.980554
146 EYKA 24.084721 54.963888
147 LPPR -8.678055 41.235555
148 LFRN -1.732222 48.071944
149 ENST 12.472222 65.959721
150 LTAR 36.902498 39.814168
151 EFKI 27.687500 64.284167
152 ENVD 29.844722 70.065275
153 ENMH 27.826666 71.029720
154 LTAU 35.495280 38.770280
155 EDDC 13.768055 51.134444
156 ENMS 13.215278 65.783610
157 LTBY 30.582778 39.782222
